                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.5019,                0.98241,                 1.0965,                0.95583,                0.49044,                0.59862,                0.37222,                 1.2934,                0.71127,                 1.0247,             5.9092e-05,             5.9092e-05,             5.9092e-05
                     44,                 1.5034,                 0.9783,                 1.1163,                0.87392,                0.49826,                0.57596,                0.36799,                  1.293,                0.70304,                 1.0249,             5.9457e-05,             5.9457e-05,             5.9457e-05
                     45,                 1.4472,                0.91653,                 1.0969,                0.87392,                0.49826,                0.57596,                0.36799,                  1.293,                0.70304,                 1.0249,             5.9776e-05,             5.9776e-05,             5.9776e-05
                     46,                 1.3776,                 1.0116,                 1.1303,                0.87549,                0.50536,                0.57046,                0.37072,                 1.2889,                0.69863,                  1.025,             6.0047e-05,             6.0047e-05,             6.0047e-05
                     47,                 1.5365,                0.95981,                 1.1297,                0.87549,                0.50536,                0.57046,                0.37072,                 1.2889,                0.69863,                  1.025,             6.0271e-05,             6.0271e-05,             6.0271e-05
                     48,                 1.3318,                0.90315,                 1.1122,                0.86754,                0.50993,                0.58159,                0.37683,                 1.2886,                0.69273,                 1.0245,             6.0448e-05,             6.0448e-05,             6.0448e-05
                     49,                 1.4206,                0.89663,                 1.0917,                0.86754,                0.50993,                0.58159,                0.37683,                 1.2886,                0.69273,                 1.0245,             6.0578e-05,             6.0578e-05,             6.0578e-05
                     50,                 1.3736,                0.88188,                 1.0848,                0.96475,                0.44387,                0.58411,                0.37604,                 1.2844,                0.68646,                  1.024,              6.066e-05,              6.066e-05,              6.066e-05
                     51,                 1.4722,                0.98039,                 1.1527,                0.96475,                0.44387,                0.58411,                0.37604,                 1.2844,                0.68646,                  1.024,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                 1.4397,                0.91884,                 1.1265,                0.96458,                0.44563,                0.58771,                0.37228,                  1.285,                0.68578,                  1.024,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                 1.3255,                0.87999,                 1.0924,                0.96458,                0.44563,                0.58771,                0.37228,                  1.285,                0.68578,                  1.024,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                 1.4072,                 0.9206,                 1.0984,                 0.8546,                0.51101,                0.58041,                0.36974,                 1.2888,                0.68825,                 1.0265,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                 1.4074,                0.91091,                 1.0752,                 0.8546,                0.51101,                0.58041,                0.36974,                 1.2888,                0.68825,                 1.0265,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                 1.4424,                0.91094,                 1.0757,                0.87914,                0.53629,                0.60051,                0.37633,                 1.2809,                 0.6819,                 1.0246,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                 1.3998,                0.91488,                 1.1222,                0.87914,                0.53629,                0.60051,                0.37633,                 1.2809,                 0.6819,                 1.0246,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                 1.4887,                0.92269,                 1.0835,                 0.8892,                 0.5229,                0.60187,                0.37519,                 1.2788,                0.68013,                 1.0239,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                 1.3622,                0.87689,                 1.0377,                 0.8892,                 0.5229,                0.60187,                0.37519,                 1.2788,                0.68013,                 1.0239,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                 1.3961,                 0.9544,                 1.0729,                 0.9018,                0.52151,                0.59835,                0.37971,                 1.2727,                0.67658,                 1.0219,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                 1.4446,                0.87481,                 1.0961,                 0.9018,                0.52151,                0.59835,                0.37971,                 1.2727,                0.67658,                 1.0219,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                 1.3276,                0.93228,                 1.0956,                0.90489,                0.52259,                  0.598,                0.38137,                 1.2676,                0.67744,                 1.0219,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                 1.4314,                 0.9158,                 1.0741,                0.90489,                0.52259,                  0.598,                0.38137,                 1.2676,                0.67744,                 1.0219,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                 1.3506,                0.88046,                  1.091,                0.90447,                0.52618,                0.59535,                0.38231,                 1.2678,                0.67732,                 1.0205,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                 1.3499,                0.86297,                   1.11,                0.90447,                0.52618,                0.59535,                0.38231,                 1.2678,                0.67732,                 1.0205,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                  1.321,                0.84319,                 1.0767,                0.90491,                0.52854,                0.59616,                0.38226,                 1.2698,                0.67645,                 1.0205,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                 1.3511,                0.85726,                 1.0771,                0.90491,                0.52854,                0.59616,                0.38226,                 1.2698,                0.67645,                 1.0205,             4.1245e-05,             4.1245e-05,             4.1245e-05
